Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
27	14.358087	2.8361552	18.67807	4.6362534	193.08333	80.277084	351.0	51.0	1000.0	141129.0	0.1680107142857143	1.4804516	0.5131935	2.5651119	-0.53031343	20.139717	11.419229	77.83003	-2.174613	-8.381903e-09	-0.012053741	5.2154064e-08	0.015030097	0.12638333	-0.05793228	220.23416	-110.387985	0	0	1.5696126	0.0	1.4570954	0.009579288	840000	1898.3067779541016
28	15.389653	2.881926	19.747211	8.651509	194.54167	70.668816	309.0	35.0	1000.0	146757.0	0.16868620689655173	1.5263773	0.49905232	2.890669	-0.0458413	20.759062	12.066801	77.47083	-4.431333	-5.5879354e-09	-0.012968878	-5.9604645e-08	0.0053148735	0.13144347	-0.051258735	217.44955	-102.1263	0	0	1.5167035	0.0	1.425364	0.009198692	870000	1966.3176159858704
29	15.791771	2.5409381	20.104559	10.091762	189.95833	74.44488	354.0	39.0	1000.0	152259.0	0.16917666666666667	1.6221828	0.46982378	2.7722497	0.20177665	18.637817	11.868652	76.63297	-2.2035642	-4.656613e-09	-0.012178961	-8.940697e-08	-0.0034006014	0.159984	-0.0636475	207.79663	-90.47443	0	0	1.6493086	0.0	1.4146422	0.009570292	900000	2034.5323781967163
30	15.230812	2.556681	19.05688	10.859448	200.95833	109.28841	383.0	0.0	1000.0	158217.0	0.1701258064516129	1.5545841	0.49057293	2.8244498	0.08812524	19.296984	12.083174	73.89535	-6.2706466	3.7252903e-09	-0.012455698	5.2154064e-08	-0.016059414	0.14831789	-0.06819837	232.98877	-111.94263	0	0	1.629015	0.0	1.4140732	0.009374587	930000	2102.912827014923
31	14.962013	3.473102	20.446188	5.014917	173.625	104.97135	472.0	28.0	1000.0	163496.0	0.17030833333333334	1.6007477	0.46608007	2.8325467	0.20674859	20.463459	11.94953	78.31305	-5.485667	9.313226e-09	-0.012039777	2.9802322e-08	-0.0028905105	0.16116202	-0.072612554	239.19429	-127.11025	0	0	1.6311435	0.0	1.4046586	0.0094571635	960000	2170.7440304756165
32	16.010382	2.545711	21.59219	10.273891	196.33333	72.89185	359.0	43.0	1000.0	169510.0	0.17122222222222222	1.5666772	0.50650364	2.5642297	-0.12754954	19.272087	12.057702	81.17616	-3.7513304	-9.313226e-09	-0.013098021	7.4505806e-08	-0.011191079	0.15479231	-0.0660851	204.55328	-111.10011	0	0	1.5045123	0.0	1.3767732	0.009672009	990000	2238.8136162757874
33	15.426132	2.9094567	19.523876	5.826579	173.66667	87.769905	402.0	8.0	1000.0	174647.0	0.17122254901960784	1.5858064	0.5107042	2.6718836	0.031391643	19.75357	11.716818	77.51214	-4.4965014	5.122274e-09	-0.01245467	-4.4703484e-08	-0.00055878377	0.16665384	-0.065055266	186.91199	-86.92331	0	0	1.6088772	0.0	1.3625852	0.0097396495	1020000	2306.7104766368866
34	15.715829	2.3331559	18.892265	8.189734	182.45833	87.44521	471.0	17.0	1000.0	180131.0	0.17155333333333334	1.5770276	0.5301105	2.7627645	-0.15321772	17.809706	11.059935	68.08454	-5.1091523	9.778887e-09	-0.01228849	2.9802322e-08	0.0044706278	0.14867888	-0.0679909	213.20816	-110.42503	0	0	1.6415793	0.0	1.3589318	0.009441752	1050000	2374.961321592331
35	15.453004	2.5073848	20.109	9.568693	190.41667	76.01202	338.0	36.0	1000.0	185747.0	0.17198796296296295	1.6581576	0.48146823	2.6832826	0.19181637	19.1125	12.378523	76.39223	-4.332331	2.0489097e-08	-0.012893822	-7.450581e-09	0.0011795368	0.14099553	-0.06062237	199.85252	-96.85609	0	0	1.5184691	0.0	1.365093	0.009559751	1080000	2442.826279401779
36	16.380356	2.9438715	21.94673	9.372999	180.875	101.447975	443.0	38.0	1000.0	191071.0	0.17213603603603603	1.6700615	0.52033985	2.8057494	-0.20782754	18.673521	12.119523	76.12568	-8.452803	4.656613e-09	-0.0123361545	1.4901161e-08	-0.00878066	0.13451344	-0.055017643	206.70317	-111.60133	0	0	1.5875521	0.0	1.3468283	0.009694717	1110000	2510.667920589447
