Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
41	13.644275	2.065134	19.132038	9.465096	194.83333	92.455246	448.0	48.0	1000.0	228439.0	0.18130079365079366	1.4404838	0.49821016	2.8151362	-0.13997512	21.10156	14.373421	82.35367	-7.640132	-7.450581e-09	-0.0011610973	-4.4703484e-08	0.00060924166	0.1260493	-0.064194225	248.08815	-149.82251	0	0	1.0	1.4590049	0.0010869412	1260000	3123.92631983757
42	14.080312	2.9971638	18.626371	6.379396	165.125	90.223015	362.0	21.0	1000.0	233540.0	0.18103875968992247	1.4147987	0.48099306	2.5916018	0.13277923	20.38525	12.547045	74.48535	-7.7296195	-7.450581e-09	-0.001026119	0.0	0.00036580907	0.15957685	-0.06575802	201.1012	-116.91887	0	0	1.0	1.4580393	0.00072662544	1290000	3195.40283536911
43	14.546691	2.2276428	18.103718	10.515815	213.58333	110.24024	498.0	45.0	1000.0	239817.0	0.18167954545454545	1.3443398	0.5226172	2.7270982	-0.3129081	18.390486	12.358786	72.694916	-4.74786	-6.519258e-09	-0.0011044964	7.4505806e-08	0.0035325484	0.1478066	-0.0879346	272.08	-164.58398	0	0	1.0	1.4571841	0.000546232	1320000	3266.0239691734314
44	15.073026	3.003193	19.778175	6.267105	195.0	92.685394	454.0	11.0	1000.0	245703.0	0.18200222222222223	1.512858	0.48940286	2.5885448	-0.16842295	21.49045	15.420608	87.591385	-17.444847	-5.5879354e-09	-0.0032805176	-2.9802322e-08	-0.0065760557	0.12863882	-0.06018499	277.08948	-169.78004	0	0	3.0	1.4563701	0.002995662	1350000	3336.6328105926514
45	15.2309265	2.6522593	19.775694	9.903128	195.125	121.33264	465.0	44.0	1000.0	251445.0	0.18220652173913043	1.5534084	0.49016714	2.6836712	-0.17004132	19.984188	12.799341	75.361374	-7.5023	1.0244548e-08	-0.017046262	-1.1920929e-07	0.0025266018	0.13654137	-0.06270964	224.19064	-127.865906	0	0	79.0	1.4544609	0.0068945736	1380000	3420.8993253707886
46	14.489259	3.0150099	19.538557	7.7484064	157.95833	71.46706	330.0	27.0	1000.0	256298.0	0.18177163120567377	1.4986292	0.51792294	2.8764236	-0.022646626	19.773699	12.373174	78.18859	-9.893043	-1.0244548e-08	-0.017304393	-1.1175871e-07	-0.00038439536	0.1210774	-0.057937577	184.70358	-111.33606	0	0	79.0	1.4230863	0.0070171617	1410000	3505.693820953369
47	14.64268	2.4268548	20.488817	8.5811825	187.29167	107.89056	500.0	44.0	1000.0	261818.0	0.18181805555555555	1.5131241	0.46194255	2.4805415	0.12872456	17.815187	11.71306	67.769295	-7.875289	1.21071935e-08	-0.01783381	5.9604645e-08	-0.007049804	0.11533928	-0.060616437	239.06546	-147.40787	0	0	79.0	1.3956044	0.006666571	1440000	3590.3733570575714
48	14.93502	2.68001	20.758444	10.688326	164.0	72.187836	324.0	85.0	1000.0	267308.0	0.1818421768707483	1.5036982	0.53117263	2.8513033	-0.24233614	18.67311	13.667511	81.333725	-11.248436	-1.3038516e-08	-0.015209134	1.4901161e-08	0.011662688	0.13748866	-0.074701816	220.05945	-129.89429	0	0	79.0	1.3693584	0.009313632	1470000	3675.2388620376587
49	16.08198	2.229231	20.197308	11.40137	197.0	111.20402	433.0	25.0	1000.0	273590.0	0.18239333333333332	1.6403017	0.46543303	2.7501	0.21473016	19.430002	13.050883	81.004555	-9.326815	1.0244548e-08	-0.01963848	-2.9802322e-08	0.0015718844	0.10254277	-0.047705732	224.79416	-139.73328	0	0	79.0	1.346431	0.007908507	1500000	3760.3256804943085
50	15.617694	3.3188007	19.72629	3.308691	188.625	94.95517	446.0	45.0	1000.0	279387.0	0.18260588235294117	1.5939022	0.45852998	2.8330545	0.38225484	20.642189	13.594497	80.20199	-4.756383	-1.1175871e-08	-0.01860931	1.0058284e-07	0.00288861	0.12341401	-0.062220998	214.71729	-132.30554	0	0	79.0	1.3165028	0.007553989	1530000	3846.206162929535
