Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
31	14.505479	2.0168593	18.54622	10.633866	93.86667	37.3896	181.0	31.0	1000.0	92734.0	0.09659791666666667	1.4564071	0.5399466	2.5812955	-0.38362387	9.359062	5.650717	33.613216	-0.9280882	3.0517577e-09	-0.001966457	4.8828124e-08	0.0003863566	0.19378592	-0.046480864	28.60936	-10.536627	0	0	3.0	1.7050266	0.0022230844	960000	4028.997730731964
32	13.753401	3.2607262	20.744144	7.0238795	91.13333	34.11132	160.0	39.0	1000.0	95468.0	0.09643232323232323	1.4608322	0.5578788	2.8848267	-0.20066	9.362098	5.6550536	34.657207	-1.3072412	-1.4241537e-08	-0.003335604	3.1789146e-08	0.00032327144	0.18354364	-0.045455128	28.154602	-11.483034	0	0	8.0	1.70316	0.0022289536	990000	4152.085554361343
33	14.546405	3.1889913	20.954124	8.143941	78.36667	37.279556	171.0	14.0	1000.0	97819.0	0.09590098039215686	1.4448525	0.5581453	2.7295032	-0.18922476	8.931675	5.10851	35.02678	-1.5964183	1.3224284e-08	-0.0005621073	0.0	-0.00031997883	0.17483969	-0.04144998	26.049412	-11.564916	0	0	1.0	1.6974486	0.00039770492	1020000	4276.265408277512
34	14.867895	2.7734811	21.080547	8.632504	84.7	34.78999	150.0	28.0	1000.0	100360.0	0.09558095238095238	1.5236042	0.5517731	2.6521766	-0.26852283	8.33803	5.341961	36.380527	-1.9327501	-1.3987223e-08	-0.008529871	1.0172526e-08	-0.0005246236	0.1584547	-0.037028186	33.49554	-14.599258	0	0	79.0	1.6963462	0.0056792432	1050000	4424.830475330353
35	15.211994	2.723391	22.315287	9.313936	80.23333	32.192837	161.0	31.0	1000.0	102767.0	0.09515462962962963	1.6050477	0.5511072	2.884962	-0.3941509	8.629308	5.4980617	36.042454	-2.3477988	7.1207684e-09	-0.008054536	-2.8483074e-08	2.7331544e-05	0.1571151	-0.030689538	26.362635	-11.832577	0	0	79.0	1.6684155	0.006426609	1080000	4574.342298269272
36	16.896389	2.2581155	21.428005	11.777106	83.53333	32.13589	172.0	26.0	1000.0	105273.0	0.09484054054054054	1.656981	0.5058961	2.5508873	-0.20217527	8.591326	5.358502	36.97725	-1.1587616	1.0172526e-08	-0.008253322	-2.0345052e-08	-0.0009029744	0.20456995	-0.046399415	25.250784	-11.458088	0	0	79.0	1.6292937	0.006062131	1110000	4719.75948882103
37	16.359058	3.2719195	21.985542	10.907605	89.96667	39.165024	166.0	11.0	1000.0	107972.0	0.09471228070175439	1.740164	0.5661914	2.8017337	-0.3023951	8.858329	5.302737	33.92011	-1.2539376	3.0517577e-09	-0.008476066	1.6276042e-08	0.0024493122	0.17433271	-0.040387556	27.739723	-12.416264	0	0	79.0	1.588135	0.0054336055	1140000	4864.900218009949
38	16.865505	2.8496256	25.376017	11.612232	83.1	32.720383	147.0	19.0	1000.0	110465.0	0.09441452991452992	1.7863758	0.51981074	2.7205963	-0.29549372	9.221424	5.579409	35.201187	-2.7059002	8.138021e-09	0.010686788	-2.4414062e-08	-0.002215625	0.14048016	-0.032594815	23.750738	-10.127707	0	0	5.0	1.5603697	0.017046526	1170000	4987.129890203476
39	17.1088	2.2394152	22.466833	12.299269	73.76667	30.486809	156.0	26.0	1000.0	112678.0	0.09389833333333333	1.8320215	0.4807236	3.041491	-0.04944977	8.690892	4.9631953	33.36006	-1.6965753	1.6276042e-08	0.008871603	-4.0690104e-08	0.00065256347	0.16669214	-0.030558303	27.726583	-13.404321	0	0	1.0	1.5579312	0.019664021	1200000	5108.098893165588
40	16.26319	2.6825607	22.394928	10.879308	82.36667	27.068413	135.0	35.0	1000.0	115149.0	0.0936170731707317	1.713768	0.51781666	2.7016985	-0.17332247	7.9728446	4.9451003	35.96433	-1.1828673	0.0	0.0021792073	4.0690104e-08	-0.000715271	0.16215596	-0.042167686	25.3958	-12.039492	0	0	1.0	1.5567849	0.006464207	1230000	5229.119317293167
41	16.994968	2.099018	21.026257	11.98658	83.3	31.214474	141.0	25.0	1000.0	117648.0	0.09337142857142858	1.729234	0.5143281	2.707737	-0.39111754	8.6659975	4.962481	34.68512	-0.79162246	-3.0517577e-09	0.0007868942	-8.138021e-09	-0.00053994544	0.15331745	-0.037003405	30.09903	-14.555938	0	0	1.0	1.5560088	0.0074967216	1260000	5349.832785844803
42	16.293331	2.3997135	23.005028	12.44692	82.63333	35.28218	155.0	27.0	1000.0	120127.0	0.09312170542635659	1.7127051	0.5146539	2.714355	-0.28218254	7.9704103	5.284643	34.56121	-4.316665	2.0345052e-08	-0.0008244059	3.2552084e-08	-0.00095845945	0.12114498	-0.02731213	26.286829	-12.523462	0	0	1.0	1.5555005	0.00362208	1290000	5471.02713394165
43	17.337591	2.8564808	22.885996	12.401277	95.0	30.903074	160.0	29.0	1000.0	122977.0	0.09316439393939394	1.7500986	0.47962055	2.6536553	-0.18589592	9.174924	5.795974	44.703144	-2.7913105	5.086263e-09	-0.00064210506	1.6276042e-08	-0.0010864136	0.15246783	-0.032764956	31.692108	-15.777527	0	0	1.0	1.5553396	0.001215374	1320000	5591.953204393387
44	17.298357	2.6128707	22.137253	12.864918	74.96667	34.1228	167.0	26.0	1000.0	125226.0	0.09276	1.7907841	0.5115831	2.8194282	-0.61294544	8.785688	5.274576	35.384342	-1.2493594	4.0690105e-09	-0.00061270955	-4.8828124e-08	0.00061416015	0.12766209	-0.026126787	26.745415	-13.060942	0	0	1.0	1.5552267	0.0007317293	1350000	5713.681232452393
45	17.414045	2.7433968	22.504519	11.911225	84.1	33.824398	143.0	8.0	1000.0	127749.0	0.09257173913043479	1.8023417	0.5158826	3.0327458	-0.08824331	8.388578	5.0768924	34.77671	-2.9905317	-2.5431315e-09	-0.00068996835	1.6276042e-08	0.001302238	0.1588064	-0.034422494	29.531664	-15.576338	0	0	1.0	1.5550443	0.0012469058	1380000	5836.02992105484
46	16.960173	2.7215269	21.983501	10.940266	84.3	28.467703	153.0	42.0	1000.0	130278.0	0.09239574468085106	1.8009939	0.5166947	3.137625	-0.014011968	8.621282	5.3827324	32.507767	-3.3351269	2.0345052e-09	-0.00079927087	-3.6621095e-08	-0.0002177063	0.15100738	-0.030223988	25.380402	-13.667714	0	0	1.0	1.5547649	0.0009532024	1410000	5957.840905666351
47	17.445484	2.3349915	22.942253	12.511277	89.2	28.668682	156.0	47.0	1000.0	132954.0	0.09232916666666667	1.7844367	0.5027298	2.7001107	-0.14024019	9.243764	5.3041444	34.950016	-0.87514174	2.0345052e-08	-0.0003635142	1.2207031e-08	0.00062045694	0.14334314	-0.031201355	27.889116	-14.4946995	0	0	1.0	1.5545425	0.0010296799	1440000	6079.299200773239
48	17.58771	2.7637947	22.623316	12.177855	83.46667	36.32697	158.0	17.0	1000.0	135458.0	0.09214829931972789	1.8290333	0.50858486	2.8169718	-0.2219477	8.85907	5.1610484	32.103706	-2.4682634	0.0	-0.0011248677	-8.138021e-08	0.0026886475	0.16567203	-0.037967607	28.543291	-14.982172	0	0	1.0	1.5543053	0.0023051682	1470000	6200.980455160141
49	17.010452	2.8611343	22.87534	10.855619	88.166664	37.219246	162.0	5.0	1000.0	138103.0	0.09206866666666666	1.8094517	0.53632337	2.8971019	-0.13840775	8.667405	5.353883	33.115685	-2.579857	2.2888185e-09	-0.0006751015	-8.138021e-09	-0.00025568847	0.15664186	-0.03561683	26.233442	-13.813825	0	0	1.0	1.5540705	0.0017250534	1500000	6322.085864067078
50	17.691383	2.1501937	22.112413	12.121141	91.4	33.3992	156.0	27.0	1000.0	140845.0	0.09205555555555556	1.7910929	0.49104127	2.9574928	-0.08208752	9.146533	5.2261105	33.901325	-2.7735355	1.1189779e-08	-0.00095622556	-7.629395e-09	-0.0014298899	0.14660823	-0.042330235	26.952799	-14.54269	0	0	1.0	1.5535235	0.0034632054	1530000	6443.604237318039
51	17.628248	2.379974	23.133448	13.965485	90.73333	38.9837	196.0	22.0	1000.0	143567.0	0.09203012820512821	1.8048155	0.51540256	2.919173	-0.08682274	8.882104	5.458438	32.879765	-2.9746876	-7.1207684e-09	-0.0008326396	2.4414062e-08	0.00013710123	0.16214857	-0.039847232	32.11344	-18.768204	0	0	1.0	1.552977	0.0018087695	1560000	6564.915752887726
52	17.395992	2.7534356	22.22449	10.855666	79.166664	32.9728	155.0	29.0	1000.0	145942.0	0.0917874213836478	1.8432729	0.5506703	2.965534	-0.009286473	8.879406	5.667508	38.14388	-3.53703	-8.646647e-09	-0.00044147798	4.0690105e-09	-0.0002838094	0.16899411	-0.042140752	28.220787	-15.893701	0	0	1.0	1.5522778	0.00033561065	1590000	6688.38879442215
